date,swe_mm,tair_c,ppt_mm
2013-08-03,0,12.4,5.1
2013-08-04,0,12.4,5.1
2013-08-05,0,12.1,7.6
2013-08-06,0,12.4,0
2013-08-07,0,9.3,0
2013-08-08,0,9.2,0
2013-08-09,0,7.2,7.6
2013-08-10,0,10.8,0
2013-08-11,0,9.8,0
2013-08-12,0,8.9,7.6
2013-08-13,0,7.9,5.1
2013-08-14,0,9.6,0
2013-08-15,0,12,0
2013-08-16,0,12.8,0
2013-08-17,0,13.7,0
2013-08-18,0,14.8,0
2013-08-19,0,15,0
2013-08-20,0,14.8,0
2013-08-21,0,13.7,0
2013-08-22,0,10.7,7.6
2013-08-23,0,10.8,7.6
2013-08-24,0,10.6,2.5
2013-08-25,0,10.9,0
2013-08-26,0,13.1,5.1
2013-08-27,0,13,0
2013-08-28,0,13.2,0
2013-08-29,0,13.1,2.5
2013-08-30,0,11.6,7.6
2013-08-31,0,12.6,0
2013-09-01,0,11.1,0
2013-09-02,0,12.8,0
2013-09-03,0,15.8,0
2013-09-04,0,13.2,0
2013-09-05,0,12.2,2.5
2013-09-06,0,12.7,7.6
2013-09-07,0,12.2,0
2013-09-08,0,11,0
2013-09-09,0,10,33
2013-09-10,0,8.8,33
2013-09-11,0,9.1,53.3
2013-09-12,0,8.8,58.4
2013-09-13,0,9,0
2013-09-14,0,7.8,5.1
2013-09-15,0,6.4,25.4
2013-09-16,0,8,0
2013-09-17,0,10.4,0
2013-09-18,0,8.8,2.5
2013-09-19,0,5.3,0
2013-09-20,0,6.5,0
2013-09-21,0,10,0
2013-09-22,0,6.9,7.6
2013-09-23,0,3.1,2.5
2013-09-24,0,8.6,0
2013-09-25,0,11.5,0
2013-09-26,0,6.4,0
2013-09-27,0,0.8,2.5
2013-09-28,0,2.6,2.5
2013-09-29,0,7.6,0
2013-09-30,0,10.2,0
2013-10-01,0,7.8,0
2013-10-02,0,7.2,0
2013-10-03,0,6.5,7.6
2013-10-04,0,-3.7,7.6
2013-10-05,5.1,-0.4,2.5
2013-10-06,5.1,6.5,0
2013-10-07,0,9.9,0
2013-10-08,0,9.3,0
2013-10-09,0,4.6,0
2013-10-10,0,2.1,0
2013-10-11,0,0.5,0
2013-10-12,0,0.7,0
2013-10-13,0,2.4,0
2013-10-14,0,0.2,5.1
2013-10-15,0,-4,5.1
2013-10-16,5.1,-2,0
2013-10-17,5.1,-1.1,5.1
2013-10-18,10.2,-4,5.1
2013-10-19,15.2,1.5,2.5
2013-10-20,17.8,-1.1,2.5
2013-10-21,17.8,-0.5,0
2013-10-22,17.8,4.5,0
2013-10-23,17.8,4.2,0
2013-10-24,15.2,3,0
2013-10-25,15.2,4.3,0
2013-10-26,15.2,2.9,0
2013-10-27,15.2,4,0
2013-10-28,15.2,0.5,0
2013-10-29,15.2,2.4,7.6
2013-10-30,20.3,-2.2,0
2013-10-31,20.3,-3.7,0
2013-11-01,22.9,-2.5,5.1
2013-11-02,25.4,4.9,0
2013-11-03,25.4,2.4,0
2013-11-04,25.4,-4.4,0
2013-11-05,25.4,-7.6,2.5
2013-11-06,27.9,-4.7,0
2013-11-07,30.5,1.2,0
2013-11-08,30.5,2.9,0
2013-11-09,27.9,3,0
2013-11-10,27.9,4.1,0
2013-11-11,27.9,2.9,0
2013-11-12,27.9,1.6,0
2013-11-13,27.9,4.3,0
2013-11-14,27.9,1.1,0
2013-11-15,27.9,0.4,0
2013-11-16,27.9,-3.1,5.1
2013-11-17,38.1,-4.3,7.6
2013-11-18,43.2,-0.1,0
2013-11-19,43.2,1.1,0
2013-11-20,43.2,-0.5,0
2013-11-21,48.3,-9.5,0
2013-11-22,48.3,-6.7,10.2
2013-11-23,53.3,-6.1,2.5
2013-11-24,55.9,-1.6,0
2013-11-25,55.9,-4.6,0
2013-11-26,55.9,-3.1,0
2013-11-27,58.4,1.2,0
2013-11-28,58.4,-1.2,0
2013-11-29,58.4,0.7,0
2013-11-30,58.4,-0.2,0
2013-12-01,58.4,-2.1,0
2013-12-02,63.5,-1.5,0
2013-12-03,63.5,-6.1,0
2013-12-04,68.6,-19.6,2.5
2013-12-05,71.1,-18.4,7.6
2013-12-06,76.2,-17.5,5.1
2013-12-07,81.3,-11.7,0
2013-12-08,81.3,-14.8,0
2013-12-09,81.3,-18,2.5
2013-12-10,83.8,-8.8,2.5
2013-12-11,86.4,-5.3,0
2013-12-12,86.4,0.5,0
2013-12-13,86.4,-2.9,0
2013-12-14,86.4,-4.8,0
2013-12-15,86.4,-2.4,0
2013-12-16,86.4,0.2,0
2013-12-17,86.4,1.5,0
2013-12-18,86.4,2.2,0
2013-12-19,86.4,-0.2,0
2013-12-20,86.4,-4.8,0
2013-12-21,86.4,-8,0
2013-12-22,86.4,-9.8,5.1
2013-12-23,91.4,-6.2,5.1
2013-12-24,96.5,-6.1,2.5
2013-12-25,99.1,-4.5,2.5
2013-12-26,101.6,-1.5,0
2013-12-27,101.6,1.3,0
2013-12-28,101.6,-1.9,2.5
2013-12-29,104.1,-8.4,0
2013-12-30,104.1,-6.1,2.5
2013-12-31,106.7,-2.7,0
2014-01-01,109.2,-7.2,5.1
2014-01-02,114.3,-2.6,0
2014-01-03,116.8,-0.6,0
2014-01-04,116.8,-12.7,12.7
2014-01-05,132.1,-17.3,5.1
2014-01-06,139.7,-9.3,5.1
2014-01-07,144.8,-4.4,2.5
2014-01-08,147.3,-4.8,0
2014-01-09,147.3,-5.6,0
2014-01-10,149.9,-9.7,7.6
2014-01-11,157.5,-2.3,5.1
2014-01-12,162.6,-7.1,2.5
2014-01-13,167.6,-8,2.5
2014-01-14,170.2,-7,5.1
2014-01-15,175.3,-4.1,0
2014-01-16,175.3,-5.6,0
2014-01-17,175.3,-2.6,0
2014-01-18,175.3,0.5,0
2014-01-19,175.3,1.6,0
2014-01-20,175.3,-1.8,0
2014-01-21,175.3,-0.1,0
2014-01-22,175.3,-4.7,0
2014-01-23,175.3,-9.8,2.5
2014-01-24,177.8,-0.7,0
2014-01-25,177.8,1.4,0
2014-01-26,177.8,-4.3,0
2014-01-27,177.8,-10.9,12.7
2014-01-28,190.5,-13,5.1
2014-01-29,195.6,-3.9,7.6
2014-01-30,203.2,-5.2,7.6
2014-01-31,223.5,-7.5,2.5
2014-02-01,226.1,-11.8,0
2014-02-02,226.1,-11.4,0
2014-02-03,228.6,-9.8,2.5
2014-02-04,231.1,-16.6,2.5
2014-02-05,231.1,-16,2.5
2014-02-06,233.7,-9.9,5.1
2014-02-07,241.3,-7.2,10.2
2014-02-08,251.5,-4.6,10.2
2014-02-09,266.7,-2.7,22.9
2014-02-10,292.1,-4.5,12.7
2014-02-11,297.2,-6.8,5.1
2014-02-12,302.3,-4.5,2.5
2014-02-13,307.3,-1.7,10.2
2014-02-14,322.6,-2.4,7.6
2014-02-15,330.2,1.4,2.5
2014-02-16,332.7,0.7,2.5
2014-02-17,335.3,-2,0
2014-02-18,337.8,0.3,0
2014-02-19,337.8,-1.7,0
2014-02-20,337.8,-12.5,0
2014-02-21,337.8,-8.1,7.6
2014-02-22,345.4,-6.9,12.7
2014-02-23,358.1,-3.5,7.6
2014-02-24,365.8,0.1,0
2014-02-25,365.8,-4.5,0
2014-02-26,365.8,-1.8,5.1
2014-02-27,370.8,-0.9,0
2014-02-28,373.4,-1.3,5.1
2014-03-01,378.5,-1,10.2
2014-03-02,386.1,-2.4,0
2014-03-03,388.6,-1.2,0
2014-03-04,388.6,-0.3,10.2
2014-03-05,398.8,-2.3,0
2014-03-06,398.8,2.1,2.5
2014-03-07,401.3,-3,10.2
2014-03-08,419.1,-4.1,0
2014-03-09,419.1,3.8,0
2014-03-10,419.1,4.4,0
2014-03-11,419.1,-6.7,5.1
2014-03-12,424.2,-5,2.5
2014-03-13,426.7,-0.5,0
2014-03-14,426.7,0.8,0
2014-03-15,426.7,-4.6,2.5
2014-03-16,429.3,-0.9,0
2014-03-17,429.3,0.1,2.5
2014-03-18,431.8,-8,0
2014-03-19,431.8,-4.3,0
2014-03-20,431.8,0.3,0
2014-03-21,431.8,-2.2,0
2014-03-22,431.8,-7.6,5.1
2014-03-23,436.9,-3.8,2.5
2014-03-24,439.4,-1.7,0
2014-03-25,439.4,1.4,0
2014-03-26,439.4,2.2,0
2014-03-27,439.4,-3.1,7.6
2014-03-28,444.5,-4.6,0
2014-03-29,444.5,0.5,0
2014-03-30,444.5,2.5,0
2014-03-31,444.5,-3.9,2.5
2014-04-01,444.5,-1.7,2.5
2014-04-02,449.6,-2.8,0
2014-04-03,452.1,-5.6,5.1
2014-04-04,462.3,-3.3,12.7
2014-04-05,462.3,-2.1,5.1
2014-04-06,467.4,-2.8,0
2014-04-07,467.4,-2.2,2.5
2014-04-08,467.4,3.6,2.5
2014-04-09,469.9,6.5,0
2014-04-10,467.4,5.1,0
2014-04-11,459.7,6.3,0
2014-04-12,444.5,5.6,2.5
2014-04-13,444.5,-7.6,22.9
2014-04-14,467.4,-7.9,0
2014-04-15,469.9,1,5.1
2014-04-16,469.9,-1.1,2.5
2014-04-17,469.9,1.2,0
2014-04-18,469.9,8.3,2.5
2014-04-19,462.3,4,2.5
2014-04-20,462.3,4.9,0
2014-04-21,454.7,3.6,0
2014-04-22,447,6.9,0
2014-04-23,436.9,3.4,0
2014-04-24,426.7,1.6,0
2014-04-25,419.1,5.6,0
2014-04-26,406.4,5.9,0
2014-04-27,393.7,-2.9,0
2014-04-28,393.7,-3.9,0
2014-04-29,393.7,-3.2,2.5
2014-04-30,396.2,-2.1,0
2014-05-01,396.2,0.7,0
2014-05-02,388.6,6.9,0
2014-05-03,373.4,8.1,0
2014-05-04,368.3,10.2,0
2014-05-05,348,9.2,0
2014-05-06,340.4,7.4,0
2014-05-07,322.6,2.2,5.1
2014-05-08,327.7,0.1,5.1
2014-05-09,327.7,0.9,7.6
2014-05-10,332.7,3,7.6
2014-05-11,337.8,-3,30.5
2014-05-12,370.8,-6.1,22.9
2014-05-13,381,-4.8,0
2014-05-14,381,-0.7,0
2014-05-15,381,3.4,0
2014-05-16,381,4.5,10.2
2014-05-17,381,5.6,0
2014-05-18,370.8,9.6,0
2014-05-19,350.5,9.3,0
2014-05-20,327.7,6.1,0
2014-05-21,317.5,5.2,10.2
2014-05-22,309.9,5.3,5.1
2014-05-23,294.6,5.4,5.1
2014-05-24,284.5,4.8,15.2
2014-05-25,266.7,3.2,2.5
2014-05-26,215.9,5.7,0
2014-05-27,213.4,9.8,0
2014-05-28,193,10.1,0
2014-05-29,165.1,10.1,0
2014-05-30,132.1,6.5,0
2014-05-31,114.3,9.1,7.6
2014-06-01,76.2,9.7,0
2014-06-02,50.8,9.3,0
2014-06-03,30.5,11.2,0
2014-06-04,17.8,9.1,0
2014-06-05,0,7.6,0
2014-06-06,0,8.1,0
2014-06-07,0,7.2,0
2014-06-08,0,4.5,2.5
2014-06-09,0,6.6,0
2014-06-10,0,11.7,0
2014-06-11,0,10,2.5
2014-06-12,0,8.2,0
2014-06-13,0,11.7,0
2014-06-14,0,9,0
2014-06-15,0,7.2,0
2014-06-16,0,11.8,0
2014-06-17,0,11.8,0
2014-06-18,0,8.2,2.5
2014-06-19,0,8.7,0
2014-06-20,0,11.1,2.5
2014-06-21,0,10.9,0
2014-06-22,0,9.6,0
2014-06-23,0,9.6,0
2014-06-24,0,10.2,0
2014-06-25,0,12.3,0
2014-06-26,0,14.4,0
2014-06-27,0,11.4,2.5
2014-06-28,0,9.9,0
2014-06-29,0,15.1,0
2014-06-30,0,13.4,0
2014-07-01,0,8.1,0
2014-07-02,0,10.2,0
2014-07-03,0,13.4,0
2014-07-04,0,13,2.5
2014-07-05,0,12.8,0
2014-07-06,0,13.5,0
2014-07-07,0,16.3,0
2014-07-08,0,9.7,0
2014-07-09,0,13.9,0
2014-07-10,0,14.8,0
2014-07-11,0,12.9,2.5
2014-07-12,0,11.5,5.1
2014-07-13,0,10.5,0
2014-07-14,0,11.2,0
2014-07-15,0,11.2,2.5
2014-07-16,0,8.9,7.6
2014-07-17,0,8.6,0
2014-07-18,0,12.2,0
2014-07-19,0,13.8,0
2014-07-20,0,15.1,0
2014-07-21,0,15.1,0
2014-07-22,0,15.6,0
2014-07-23,0,15.6,0
2014-07-24,0,17.4,0
2014-07-25,0,15.8,2.5
2014-07-26,0,14.1,5.1
2014-07-27,0,11.6,0
2014-07-28,0,11.2,5.1
2014-07-29,0,9.7,12.7
2014-07-30,2.5,7.7,0
2014-07-31,0,7.6,0
2014-08-01,0,7.9,0
2014-08-02,0,9.4,0
2014-08-03,0,11.7,0
2014-08-04,0,10.6,2.5
2014-08-05,0,11.1,0
2014-08-06,0,12.6,0
2014-08-07,0,10,0
2014-08-08,0,10.6,0
2014-08-09,0,10.2,0
2014-08-10,0,7.5,20.3
2014-08-11,0,9.2,0
2014-08-12,0,11.6,0
2014-08-13,0,13,0
2014-08-14,0,12.2,2.5
2014-08-15,0,13.9,0
2014-08-16,0,13.6,0
2014-08-17,0,12.4,0
2014-08-18,0,12.2,0
2014-08-19,0,11.8,2.5
2014-08-20,0,12.1,2.5
2014-08-21,0,12.6,0
2014-08-22,0,9.6,17.8
2014-08-23,0,8.1,2.5
2014-08-24,0,9.2,0
2014-08-25,0,8.8,2.5
2014-08-26,0,8.7,10.2
2014-08-27,0,8.8,0
2014-08-28,0,8.3,0
2014-08-29,0,9.3,0
2014-08-30,0,9.9,2.5
2014-08-31,0,8.7,2.5
2014-09-01,0,9,0
2014-09-02,0,11.9,0
2014-09-03,0,14.8,0
2014-09-04,0,10.9,5.1
2014-09-05,0,6.6,2.5
2014-09-06,0,7.7,0
2014-09-07,0,8.1,0
2014-09-08,0,9.1,2.5
2014-09-09,0,8.6,2.5
2014-09-10,0,7.3,2.5
2014-09-11,0,5.6,2.5
2014-09-12,0,-0.3,2.5
2014-09-13,0,6.9,0
2014-09-14,0,9,0
2014-09-15,0,8.6,0
2014-09-16,0,10,0
2014-09-17,0,11.3,0
2014-09-18,0,11.1,0
2014-09-19,0,13.6,0
2014-09-20,0,10.1,0
2014-09-21,0,8.4,2.5
2014-09-22,0,9.2,0
2014-09-23,0,9,0
2014-09-24,0,10,0
2014-09-25,0,10.4,0
2014-09-26,0,11.9,0
2014-09-27,0,10,0
2014-09-28,0,7.7,2.5
2014-09-29,0,4.3,7.6
2014-09-30,0,2.8,2.5
2014-10-01,0,2.1,2.5
2014-10-02,0,1.4,0
2014-10-03,0,3.7,2.5
2014-10-04,0,6.6,0
2014-10-05,0,6.3,0
2014-10-06,0,8.1,0
2014-10-07,0,8.6,0
2014-10-08,0,6.7,0
2014-10-09,0,3.1,17.8
2014-10-10,7.6,2.3,0
2014-10-11,5.1,5.4,2.5
2014-10-12,2.5,1.7,0
2014-10-13,0,1.1,0
2014-10-14,0,7.5,0
2014-10-15,0,11.4,0
2014-10-16,0,7.4,0
